Sums: 484.65188728135234, 271.70111246987835 
CTCQS3CKSKHole pair | V_1 | V_2
CTH7 | 0.0 | 0.0 
CTH8 | 0.0 | 0.0 
CTH9 | 0.0 | 0.0 
CTHT | 0.0 | 0.0 
CTHJ | 0.0 | 0.0 
CTHQ | 0.0 | 0.0 
CTHK | 0.0 | 0.0 
CTHA | 0.0 | 0.0 
CTS2 | 0.0 | 0.0 
CTS3 | 0.0 | 0.0 
CTS4 | 0.0 | 0.0 
CTS5 | 0.0 | 0.0 
CTS6 | 0.0 | 0.0 
CTS7 | 0.0 | 0.0 
CTS8 | 0.0 | 0.0 
CTS9 | 0.0 | 0.0 
CTST | 0.0 | 0.0 
CTSJ | 0.0 | 0.0 
CTSQ | 0.0 | 0.0 
CTSK | 0.0 | 0.0 
CTSA | 0.0 | 0.0 
CJCQ | 0.0 | 0.0 
CJCK | 0.0 | 0.0 
CJS3 | 0.0 | 0.0 
CJSK | 0.0 | 0.0 
CQCK | 0.0 | 0.0 
CQCA | 0.0 | 0.0 
CQD2 | 0.0 | 0.0 
CQD3 | 0.0 | 0.0 
CQD4 | 0.0 | 0.0 
CQD5 | 0.0 | 0.0 
CQD6 | 0.0 | 0.0 
CQD7 | 0.0 | 0.0 
CQD8 | 0.0 | 0.0 
CQD9 | 0.0 | 0.0 
CQDT | 0.0 | 0.0 
CQDJ | 0.0 | 0.0 
CQDQ | 0.0 | 0.0 
CQDK | 0.0 | 0.0 
CQDA | 0.0 | 0.0 
CQH2 | 0.0 | 0.0 
CQH3 | 0.0 | 0.0 
CQH4 | 0.0 | 0.0 
CQH5 | 0.0 | 0.0 
CQH6 | 0.0 | 0.0 
CQH7 | 0.0 | 0.0 
CQH8 | 0.0 | 0.0 
CQH9 | 0.0 | 0.0 
CQHT | 0.0 | 0.0 
CQHJ | 0.0 | 0.0 
CQHQ | 0.0 | 0.0 
CQHK | 0.0 | 0.0 
CQHA | 0.0 | 0.0 
CQS2 | 0.0 | 0.0 
CQS3 | 0.0 | 0.0 
CQS4 | 0.0 | 0.0 
CQS5 | 0.0 | 0.0 
CQS6 | 0.0 | 0.0 
CQS7 | 0.0 | 0.0 
CQS8 | 0.0 | 0.0 
CQS9 | 0.0 | 0.0 
CQST | 0.0 | 0.0 
CQSJ | 0.0 | 0.0 
CQSQ | 0.0 | 0.0 
CQSK | 0.0 | 0.0 
CQSA | 0.0 | 0.0 
CKCA | 0.0 | 0.0 
CKD2 | 0.0 | 0.0 
CKD3 | 0.0 | 0.0 
CKD4 | 0.0 | 0.0 
CKD5 | 0.0 | 0.0 
CKD6 | 0.0 | 0.0 
CKD7 | 0.0 | 0.0 
CKD8 | 0.0 | 0.0 
CKD9 | 0.0 | 0.0 
CKDT | 0.0 | 0.0 
CKDJ | 0.0 | 0.0 
CKDQ | 0.0 | 0.0 
CKDK | 0.0 | 0.0 
CKDA | 0.0 | 0.0 
CKH2 | 0.0 | 0.0 
CKH3 | 0.0 | 0.0 
CKH4 | 0.0 | 0.0 
CKH5 | 0.0 | 0.0 
CKH6 | 0.0 | 0.0 
CKH7 | 0.0 | 0.0 
CKH8 | 0.0 | 0.0 
CKH9 | 0.0 | 0.0 
CKHT | 0.0 | 0.0 
CKHJ | 0.0 | 0.0 
CKHQ | 0.0 | 0.0 
CKHK | 0.0 | 0.0 
CKHA | 0.0 | 0.0 
CKS2 | 0.0 | 0.0 
CKS3 | 0.0 | 0.0 
CKS4 | 0.0 | 0.0 
CKS5 | 0.0 | 0.0 
CKS6 | 0.0 | 0.0 
CKS7 | 0.0 | 0.0 
CKS8 | 0.0 | 0.0 
CKS9 | 0.0 | 0.0 
CKST | 0.0 | 0.0 
CKSJ | 0.0 | 0.0 
CKSQ | 0.0 | 0.0 
CKSK | 0.0 | 0.0 
CKSA | 0.0 | 0.0 
CAS3 | 0.0 | 0.0 
CASK | 0.0 | 0.0 
D2S3 | 0.0 | 0.0 
D2SK | 0.0 | 0.0 
D3S3 | 0.0 | 0.0 
D3SK | 0.0 | 0.0 
D4S3 | 0.0 | 0.0 
D4SK | 0.0 | 0.0 
D5S3 | 0.0 | 0.0 
D5SK | 0.0 | 0.0 
D6S3 | 0.0 | 0.0 
D6SK | 0.0 | 0.0 
D7S3 | 0.0 | 0.0 
D7SK | 0.0 | 0.0 
D8S3 | 0.0 | 0.0 
D8SK | 0.0 | 0.0 
D9S3 | 0.0 | 0.0 
D9SK | 0.0 | 0.0 
DTS3 | 0.0 | 0.0 
DTSK | 0.0 | 0.0 
DJS3 | 0.0 | 0.0 
DJSK | 0.0 | 0.0 
DQS3 | 0.0 | 0.0 
DQSK | 0.0 | 0.0 
DKS3 | 0.0 | 0.0 
DKSK | 0.0 | 0.0 
DAS3 | 0.0 | 0.0 
DASK | 0.0 | 0.0 
H2S3 | 0.0 | 0.0 
H2SK | 0.0 | 0.0 
H3S3 | 0.0 | 0.0 
H3SK | 0.0 | 0.0 
H4S3 | 0.0 | 0.0 
H4SK | 0.0 | 0.0 
H5S3 | 0.0 | 0.0 
H5SK | 0.0 | 0.0 
H6S3 | 0.0 | 0.0 
H6SK | 0.0 | 0.0 
H7S3 | 0.0 | 0.0 
H7SK | 0.0 | 0.0 
H8S3 | 0.0 | 0.0 
H8SK | 0.0 | 0.0 
H9S3 | 0.0 | 0.0 
H9SK | 0.0 | 0.0 
HTS3 | 0.0 | 0.0 
HTSK | 0.0 | 0.0 
HJS3 | 0.0 | 0.0 
HJSK | 0.0 | 0.0 
HQS3 | 0.0 | 0.0 
HQSK | 0.0 | 0.0 
HKS3 | 0.0 | 0.0 
HKSK | 0.0 | 0.0 
HAS3 | 0.0 | 0.0 
HASK | 0.0 | 0.0 
S2S3 | 0.0 | 0.0 
S2SK | 0.0 | 0.0 
S3S4 | 0.0 | 0.0 
S3S5 | 0.0 | 0.0 
S3S6 | 0.0 | 0.0 
S3S7 | 0.0 | 0.0 
S3S8 | 0.0 | 0.0 
S3S9 | 0.0 | 0.0 
S3ST | 0.0 | 0.0 
S3SJ | 0.0 | 0.0 
S3SQ | 0.0 | 0.0 
S3SK | 0.0 | 0.0 
S3SA | 0.0 | 0.0 
S4SK | 0.0 | 0.0 
S5SK | 0.0 | 0.0 
S6SK | 0.0 | 0.0 
S7SK | 0.0 | 0.0 
S8SK | 0.0 | 0.0 
S9SK | 0.0 | 0.0 
STSK | 0.0 | 0.0 
SJSK | 0.0 | 0.0 
SQSK | 0.0 | 0.0 
SKSA | 0.0 | 0.0 
C8H8 | -0.11533067330586322 | 3.343673145851427 
C8S8 | -0.11533067330586322 | 3.343673145851427 
C8D8 | -0.11533067330586326 | 3.343673145851427 
